time,temp_ambient_sm2_01,temp_indoor_sm2_01,temp_indoor_sm2_02,temp_indoor_sm2_03,temp_indoor_sm2_04,temp_indoor_sm2_05,temp_indoor_sm2_06,temp_indoor_sm2_07,temp_indoor_sm2_08,temp_indoor_sm2_09,temp_intake_sm2_01,temp_intake_sm2_02,temp_intake_sm2_03,temp_intake_sm2_04,temp_intake_sm2_05,temp_intake_sm2_06,temp_intake_sm2_07,temp_intake_sm2_08,temp_intake_sm2_09
2025-06-01 00:00:00+02:00,21.9,26.0,26.1,26.3,25.5,25.2,24.7,24.8,24.8,24.6,21.3,20.3,20.8,20.9,20.4,20.3,21.5,20.5,20.1
2025-06-01 01:00:00+02:00,20.2,26.0,26.0,26.2,25.3,25.0,24.6,24.6,24.8,24.5,19.2,18.9,19.2,19.2,19.1,18.6,20.1,19.1,18.4
2025-06-01 02:00:00+02:00,19.3,25.9,25.9,26.1,25.3,25.1,24.5,24.5,24.6,24.4,18.3,18.4,18.5,18.6,18.4,18.1,19.3,18.1,17.7
2025-06-01 03:00:00+02:00,18.9,25.8,25.8,26.1,25.2,25.0,24.5,24.5,24.5,24.3,17.8,17.6,17.9,17.9,18.0,17.6,18.9,17.8,17.5
2025-06-01 04:00:00+02:00,18.4,25.7,25.8,26.1,25.1,24.9,24.5,24.4,24.5,24.3,17.7,17.5,17.8,17.8,17.8,17.8,18.6,17.7,17.5
2025-06-01 05:00:00+02:00,18.0,25.6,25.6,26.1,25.0,24.8,24.3,24.3,24.5,24.2,17.3,17.1,17.3,17.3,17.3,17.1,18.0,17.1,17.0
2025-06-01 06:00:00+02:00,17.8,25.6,25.5,26.0,25.0,24.8,24.3,24.3,24.4,24.2,16.8,16.7,16.9,17.0,16.9,16.8,17.6,16.7,16.6
2025-06-01 07:00:00+02:00,17.2,25.5,25.5,26.0,24.9,24.7,24.2,24.3,24.4,24.1,16.6,16.2,16.5,16.5,16.5,16.2,17.5,16.1,16.1
2025-06-01 08:00:00+02:00,17.1,25.6,25.6,26.0,25.0,24.7,24.2,24.3,24.4,24.2,16.3,16.1,16.3,16.4,16.4,16.0,17.0,16.2,16.0
2025-06-01 09:00:00+02:00,17.4,25.6,25.5,26.0,24.9,24.7,24.1,24.2,24.4,24.1,16.4,16.5,16.5,16.6,16.5,16.4,17.2,16.4,16.2
2025-06-01 10:00:00+02:00,18.1,25.6,25.6,26.0,24.9,24.7,24.1,24.3,24.4,24.1,16.8,16.8,16.8,17.0,16.9,16.8,17.5,16.8,16.6
2025-06-01 11:00:00+02:00,18.5,25.6,25.6,26.0,25.1,24.8,24.3,24.2,24.3,24.2,17.3,17.4,17.3,17.4,17.4,17.2,18.0,17.2,17.1
2025-06-01 12:00:00+02:00,19.5,25.6,25.6,26.0,25.0,24.8,24.3,24.3,24.4,24.2,18.0,17.9,18.0,18.0,18.0,17.8,18.5,17.9,17.8
2025-06-01 13:00:00+02:00,21.9,25.7,25.8,26.0,25.3,25.0,24.5,24.3,24.5,24.3,19.6,19.5,19.5,19.6,19.5,19.5,19.7,20.5,20.1
2025-06-01 14:00:00+02:00,24.0,25.9,26.0,26.1,25.6,25.2,24.8,24.5,24.8,24.6,22.3,22.3,22.1,22.2,21.8,22.0,22.3,23.7,23.3
2025-06-01 15:00:00+02:00,27.0,26.1,26.1,26.5,26.0,25.6,25.1,24.8,25.1,24.8,24.4,24.2,24.2,24.3,24.1,24.2,24.1,25.4,25.0
