location,tmin,tmean,tmax,hours,h_gt27,h_gt30,pct_gt27,pct_gt30,days_tmax_gt30,night_min
sm2_01,26.2,27.1,28.0,72,37.0,,51.0,,0,26.6
sm2_02,26.2,26.9,27.8,72,26.0,,36.0,,0,26.5
sm2_03,26.3,27.1,27.8,72,38.0,,53.0,,0,26.7
sm2_04,26.0,26.7,27.6,72,26.0,,36.0,,0,26.2
sm2_05,25.8,26.5,27.4,72,13.0,,18.0,,0,26.1
sm2_06,25.8,26.7,27.6,72,26.0,,36.0,,0,26.1
sm2_07,25.5,26.3,27.2,72,3.0,,4.0,,0,26.0
sm2_08,25.0,25.9,26.9,72,,,,,0,25.5
sm2_09,25.1,25.9,26.8,72,,,,,0,25.5
