time,temp_ambient_sm2_01,temp_indoor_sm2_01,temp_indoor_sm2_02,temp_indoor_sm2_03,temp_indoor_sm2_04,temp_indoor_sm2_05,temp_indoor_sm2_06,temp_indoor_sm2_07,temp_indoor_sm2_08,temp_indoor_sm2_09,temp_intake_sm2_01,temp_intake_sm2_02,temp_intake_sm2_03,temp_intake_sm2_04,temp_intake_sm2_05,temp_intake_sm2_06,temp_intake_sm2_07,temp_intake_sm2_08,temp_intake_sm2_09
2025-08-19 00:00:00+02:00,23.0,27.8,28.0,27.9,27.7,27.2,27.7,27.5,26.9,26.9,22.0,22.1,22.4,22.4,22.5,22.4,22.9,22.0,21.9
2025-08-19 01:00:00+02:00,21.9,27.7,28.0,27.9,27.6,27.1,27.6,27.3,26.8,26.8,20.5,20.9,21.5,21.5,21.6,21.5,22.0,21.1,20.6
2025-08-19 02:00:00+02:00,20.6,27.6,27.9,27.8,27.5,27.0,27.5,27.3,26.6,26.7,20.0,20.3,20.3,20.3,20.3,20.3,21.0,20.1,20.0
2025-08-19 03:00:00+02:00,19.3,27.6,27.8,27.5,27.5,26.8,27.4,27.1,26.5,26.6,18.8,19.1,19.3,19.3,19.1,19.1,20.0,19.0,18.9
2025-08-19 04:00:00+02:00,18.2,27.3,27.7,27.5,27.4,26.8,27.3,27.0,26.4,26.6,18.0,18.1,18.3,18.3,18.3,18.2,19.3,18.1,18.1
2025-08-19 05:00:00+02:00,17.4,27.3,27.6,27.4,27.3,26.7,27.2,27.0,26.3,26.5,17.3,17.3,17.8,17.8,17.8,17.5,19.1,17.4,17.8
2025-08-19 06:00:00+02:00,16.6,27.2,27.5,27.4,27.2,26.6,27.1,26.8,26.3,26.4,16.6,16.7,17.5,17.5,17.2,17.0,18.3,17.0,17.0
2025-08-19 07:00:00+02:00,15.9,27.1,27.5,27.3,27.1,26.6,27.1,26.7,26.2,26.3,16.0,16.0,16.3,16.3,16.3,15.9,17.6,16.0,16.2
2025-08-19 08:00:00+02:00,14.9,27.0,27.4,27.1,27.1,26.4,27.0,26.6,26.0,26.2,14.8,14.6,15.1,15.1,15.1,14.7,16.1,14.3,14.5
2025-08-19 09:00:00+02:00,14.2,27.0,27.3,27.1,27.0,26.3,26.8,26.5,26.0,26.1,13.9,14.1,14.5,14.6,14.4,13.9,15.6,13.6,14.0
2025-08-19 10:00:00+02:00,14.1,26.9,27.3,27.2,27.1,26.3,26.8,26.6,25.8,26.0,14.0,14.1,14.3,14.4,14.2,13.9,15.5,13.7,14.0
2025-08-19 11:00:00+02:00,15.7,27.1,27.4,27.3,27.1,26.3,26.9,26.5,26.0,26.1,15.4,15.6,15.6,15.6,15.4,15.3,16.4,15.0,15.0
2025-08-19 12:00:00+02:00,17.5,27.3,27.5,27.4,27.1,26.4,27.0,26.6,26.3,26.3,17.0,17.9,17.1,17.2,17.0,17.5,18.6,20.5,18.8
2025-08-19 13:00:00+02:00,19.7,27.5,27.5,27.4,27.3,26.6,27.1,26.7,26.5,26.5,19.0,19.5,19.3,19.3,19.1,19.6,20.8,23.0,21.8
2025-08-19 14:00:00+02:00,21.5,27.7,27.7,27.5,27.5,26.7,27.4,26.9,26.8,26.6,21.3,21.5,21.3,21.3,21.2,21.8,22.5,24.5,24.6
2025-08-19 15:00:00+02:00,23.1,27.6,27.8,27.8,27.9,27.0,27.8,27.1,26.8,26.8,23.4,24.8,22.6,22.7,22.3,22.6,23.6,25.3,25.3
2025-08-19 16:00:00+02:00,24.2,27.7,28.1,28.0,28.0,27.1,28.0,27.3,26.9,27.0,25.4,27.6,23.2,23.3,22.9,23.1,23.8,24.6,25.3
2025-08-19 17:00:00+02:00,25.1,27.8,28.1,28.0,28.1,27.4,28.1,27.4,26.9,27.0,26.7,28.7,24.0,24.0,24.1,24.0,25.6,24.5,24.4
