location,tmin,tmean,tmax,hours,h_gt27,h_gt30,pct_gt27,pct_gt30,days_tmax_gt30,night_min
sm2_01,25.5,26.0,26.8,72,,,,,0,25.6
sm2_02,25.5,26.0,26.8,72,,,,,0,25.6
sm2_03,26.0,26.4,27.0,72,,,,,0,26.1
sm2_04,24.9,25.6,26.4,72,,,,,0,25.0
sm2_05,24.7,25.3,26.0,72,,,,,0,24.8
sm2_06,24.1,24.8,25.7,72,,,,,0,24.3
sm2_07,24.2,24.7,25.6,72,,,,,0,24.3
sm2_08,24.3,24.8,25.6,72,,,,,0,24.5
sm2_09,24.1,24.6,25.2,72,,,,,0,24.2
