time,temp_ambient_sm2_01,temp_indoor_sm2_01,temp_indoor_sm2_02,temp_indoor_sm2_03,temp_indoor_sm2_04,temp_indoor_sm2_05,temp_indoor_sm2_06,temp_indoor_sm2_07,temp_indoor_sm2_08,temp_indoor_sm2_09,temp_intake_sm2_01,temp_intake_sm2_02,temp_intake_sm2_03,temp_intake_sm2_04,temp_intake_sm2_05,temp_intake_sm2_06,temp_intake_sm2_07,temp_intake_sm2_08,temp_intake_sm2_09
2025-08-10 00:00:00+02:00,26.2,27.1,27.0,27.5,27.0,27.0,27.1,26.6,26.1,26.1,25.0,24.3,24.9,24.8,24.3,24.0,26.3,25.0,24.1
2025-08-10 01:00:00+02:00,24.4,27.1,26.8,27.4,26.9,26.8,27.0,26.6,26.0,26.0,23.5,22.6,23.2,23.1,22.9,22.8,24.6,23.2,22.4
2025-08-10 02:00:00+02:00,23.0,27.0,26.8,27.1,26.7,26.6,26.8,26.3,25.8,25.9,21.6,21.3,22.1,22.1,21.8,21.5,23.3,22.0,21.0
2025-08-10 03:00:00+02:00,21.9,26.9,26.6,27.0,26.5,26.4,26.6,26.3,25.8,25.8,21.3,20.5,21.1,21.1,21.0,20.5,22.4,20.8,20.6
2025-08-10 04:00:00+02:00,21.1,26.8,26.6,26.8,26.5,26.3,26.5,26.2,25.5,25.8,20.3,20.0,20.4,20.4,20.3,19.8,21.6,20.0,20.1
2025-08-10 05:00:00+02:00,20.3,26.6,26.5,26.7,26.4,26.2,26.5,26.1,25.5,25.6,19.6,19.1,19.8,19.8,19.8,19.3,20.9,19.4,19.3
2025-08-10 06:00:00+02:00,19.8,26.6,26.5,26.6,26.3,26.2,26.5,26.1,25.5,25.6,19.3,19.0,19.5,19.5,19.4,19.0,20.5,18.9,19.0
2025-08-10 07:00:00+02:00,19.3,26.5,26.5,26.6,26.3,26.1,26.4,26.0,25.3,25.6,18.8,18.6,19.1,19.1,19.0,18.8,20.3,18.6,18.6
2025-08-10 08:00:00+02:00,18.9,26.5,26.4,26.6,26.2,26.1,26.4,25.9,25.3,25.6,18.5,18.2,18.7,18.6,18.5,18.1,19.8,18.3,18.5
2025-08-10 09:00:00+02:00,18.5,26.5,26.5,26.6,26.2,26.1,26.3,25.8,25.3,25.5,18.0,17.8,18.5,18.4,18.3,17.8,19.3,17.8,17.6
2025-08-10 10:00:00+02:00,18.8,26.5,26.4,26.6,26.3,26.1,26.3,25.8,25.3,25.5,18.3,18.5,18.5,18.5,18.5,18.2,19.5,18.1,18.1
2025-08-10 11:00:00+02:00,20.4,26.6,26.5,26.7,26.3,26.1,26.4,25.9,25.4,25.5,19.6,20.1,20.0,20.0,19.8,19.7,20.8,20.4,19.9
2025-08-10 12:00:00+02:00,23.6,27.0,26.7,27.0,26.5,26.3,26.5,26.0,25.8,25.8,22.5,23.5,22.8,22.8,22.9,22.6,23.5,25.6,24.8
2025-08-10 13:00:00+02:00,24.9,27.2,26.8,27.0,26.6,26.4,26.7,26.1,26.0,26.0,23.5,24.0,23.5,23.6,23.6,23.5,24.1,27.0,26.6
2025-08-10 14:00:00+02:00,25.3,27.3,27.0,27.3,27.0,26.6,27.0,26.3,26.1,26.1,23.9,24.1,23.6,23.6,23.8,23.6,24.1,26.6,27.0
2025-08-10 15:00:00+02:00,25.5,27.3,27.0,27.3,27.1,26.9,27.1,26.4,26.1,26.1,24.6,25.1,23.8,23.8,24.0,23.9,24.2,26.1,27.4
2025-08-10 16:00:00+02:00,25.9,27.3,27.0,27.3,27.1,26.9,27.3,26.5,26.1,26.1,26.5,27.6,24.5,24.5,24.5,24.3,24.7,25.8,26.8
2025-08-10 17:00:00+02:00,26.8,27.5,27.1,27.6,27.4,27.1,27.6,26.6,26.1,26.1,27.5,28.3,24.8,24.8,24.9,24.7,24.8,25.0,25.3
2025-08-10 18:00:00+02:00,27.2,27.5,27.2,27.7,27.4,27.1,27.6,26.8,26.2,26.1,28.0,28.6,25.1,25.1,25.1,25.1,25.3,25.5,25.3
2025-08-10 19:00:00+02:00,27.5,27.6,27.3,27.8,27.4,27.1,27.5,26.8,26.4,26.3,28.8,29.2,25.5,25.5,25.4,25.3,25.5,25.5,25.6
2025-08-10 20:00:00+02:00,27.7,27.6,27.3,27.8,27.3,27.1,27.5,26.9,26.5,26.4,29.4,28.5,25.8,25.9,25.6,25.5,25.7,25.6,25.6
2025-08-10 21:00:00+02:00,27.4,27.6,27.3,27.8,27.3,27.1,27.4,26.9,26.6,26.3,26.8,27.0,25.8,25.8,25.5,25.3,25.4,25.2,25.0
2025-08-10 22:00:00+02:00,26.0,27.5,27.4,27.6,27.2,27.0,27.3,26.8,26.4,26.3,25.1,25.0,24.6,24.6,24.5,24.4,24.6,24.2,24.0
2025-08-10 23:00:00+02:00,24.3,27.3,27.3,27.7,27.1,26.8,27.1,26.7,26.2,26.2,23.1,23.8,23.4,23.3,23.4,23.2,23.6,23.0,22.9
2025-08-11 00:00:00+02:00,22.8,27.1,27.1,27.5,27.0,26.6,27.0,26.5,26.0,26.1,21.6,21.8,22.3,22.2,22.3,22.2,22.6,21.8,21.5
2025-08-11 01:00:00+02:00,21.6,27.0,26.9,27.1,26.8,26.7,26.9,26.4,26.0,25.9,20.5,21.0,21.4,21.4,21.5,21.3,21.8,20.8,19.8
2025-08-11 02:00:00+02:00,20.6,26.9,26.9,27.1,26.7,26.5,26.8,26.3,25.8,25.8,19.4,19.3,20.7,20.6,20.8,20.6,21.3,19.8,19.0
2025-08-11 03:00:00+02:00,19.4,26.8,26.8,27.0,26.6,26.3,26.6,26.3,25.8,25.8,18.4,18.4,19.8,19.8,19.8,19.4,20.6,18.7,18.1
2025-08-11 04:00:00+02:00,18.5,26.7,26.7,26.8,26.5,26.3,26.6,26.2,25.6,25.7,17.5,17.9,18.6,18.5,18.6,18.1,19.6,17.8,16.8
2025-08-11 05:00:00+02:00,16.7,26.6,26.6,26.7,26.4,26.1,26.4,26.1,25.5,25.6,16.3,16.0,16.8,16.6,16.6,16.1,18.1,16.0,16.3
2025-08-11 06:00:00+02:00,15.6,26.4,26.5,26.6,26.3,26.1,26.2,25.9,25.4,25.5,15.3,15.2,15.9,15.8,15.9,15.1,17.0,15.0,15.3
2025-08-11 07:00:00+02:00,14.8,26.4,26.4,26.6,26.2,26.0,26.1,25.8,25.3,25.3,14.7,14.5,15.2,15.1,15.1,14.5,16.0,14.3,14.6
2025-08-11 08:00:00+02:00,14.0,26.3,26.3,26.5,26.1,25.9,26.0,25.6,25.1,25.3,13.9,13.6,14.2,14.1,14.0,13.8,14.9,13.4,13.5
2025-08-11 09:00:00+02:00,13.3,26.2,26.3,26.3,26.0,25.8,25.9,25.6,25.0,25.2,12.9,13.4,13.7,13.6,13.6,13.3,14.5,12.8,13.0
2025-08-11 10:00:00+02:00,13.6,26.3,26.2,26.4,26.0,25.9,25.9,25.5,25.0,25.1,13.6,13.9,14.0,13.9,13.8,13.5,14.7,13.3,13.5
2025-08-11 11:00:00+02:00,15.1,26.5,26.3,26.4,26.0,25.8,25.8,25.5,25.1,25.2,14.8,15.7,15.0,15.0,14.9,14.7,15.8,15.0,14.6
2025-08-11 12:00:00+02:00,17.2,26.6,26.5,26.6,26.2,26.0,26.1,25.6,25.5,25.5,16.9,17.5,17.0,17.1,17.0,17.0,18.7,20.3,18.9
2025-08-11 13:00:00+02:00,19.6,27.0,26.6,26.8,26.5,26.2,26.3,25.7,25.8,25.7,19.8,20.4,19.6,19.7,19.6,19.5,21.2,23.2,23.2
2025-08-11 14:00:00+02:00,21.8,27.1,26.8,26.8,26.5,26.3,26.5,26.0,25.9,25.8,22.0,22.9,21.7,21.8,21.3,21.4,22.6,24.6,25.1
2025-08-11 15:00:00+02:00,22.9,27.1,26.8,27.1,26.8,26.5,26.7,26.1,26.0,26.0,23.1,24.1,22.1,22.1,22.0,21.8,22.8,25.2,26.1
