location,tmin,tmean,tmax,hours,h_gt27,h_gt30,pct_gt27,pct_gt30,days_tmax_gt30,night_min
sm2_01,28.3,29.2,30.3,72,72,5.0,100.0,7.0,1,28.6
sm2_02,27.6,28.4,29.7,72,72,,100.0,,0,27.8
sm2_03,28.3,28.9,30.0,72,72,,100.0,,0,28.5
sm2_04,28.1,28.9,30.1,72,72,1.0,100.0,1.0,1,28.5
sm2_05,27.6,28.6,29.8,72,72,,100.0,,0,28.1
sm2_06,27.0,27.9,29.2,72,67,,93.0,,0,27.3
sm2_07,27.3,28.1,29.3,72,72,,100.0,,0,27.7
sm2_08,28.6,29.2,30.2,72,72,1.0,100.0,1.0,1,28.8
sm2_09,27.2,27.8,28.8,72,72,,100.0,,0,27.4
