location,tmin,tmean,tmax,hours,h_gt27,pct_gt27
1NP-S1,26.59833333333331,26.8,27.28833333333333,96,8.0,8.0
1NP-S2,26.90166666666669,27.3,27.526666666666674,96,93.0,97.0
1NP-S3,27.22666666666668,27.5,27.79999999999997,96,96.0,100.0
1NP-S4,25.846666666666675,26.6,27.15833333333331,96,11.0,11.0
1NP-S5,21.865,23.7,24.93,96,,
1NP-S6,25.181666666666672,26.5,27.42333333333336,96,13.0,14.0
1NP-S7,26.75999999999997,27.0,27.400000000000023,96,35.0,36.0
1NP-S8,22.154999999999987,25.3,27.20333333333336,96,2.0,2.0
1NP-S9,24.645000000000028,26.3,27.375,96,17.0,18.0
5NP-S1,27.900000000000027,28.1,28.29999999999997,96,96.0,100.0
5NP-S2,24.700000000000024,26.1,27.776666666666657,96,17.0,18.0
5NP-S3,28.200000000000028,29.0,31.09999999999997,96,96.0,100.0
5NP-S4,24.31833333333333,25.7,28.81999999999999,96,9.0,9.0
5NP-S5,21.72666666666668,24.3,25.79499999999997,96,,
5NP-S6,27.783333333333307,28.0,28.373333333333324,96,96.0,100.0
5NP-S7,27.79999999999997,27.9,28.099999999999973,96,96.0,100.0
5NP-S8,25.905000000000022,26.5,27.14499999999998,96,5.0,5.0
5NP-S9,27.29999999999997,27.8,28.200000000000028,96,96.0,100.0
