location,tmin,tmean,tmax,hours,h_gt27,pct_gt27
5NP-S1,27.29999999999997,27.3,27.57,27,27.0,100.0
5NP-S2,25.79999999999997,26.5,27.8,27,6.0,22.0
5NP-S3,28.02333333333332,28.5,30.8816666666667,72,72.0,100.0
5NP-S4,26.29999999999997,26.5,27.35,27,2.0,7.0
5NP-S5,22.331666666666656,24.4,25.279999999999987,72,,
5NP-S6,26.5,26.7,27.25,27,2.0,7.0
5NP-S7,27.40166666666669,27.7,28.71166666666665,72,72.0,100.0
5NP-S8,25.200000000000028,25.9,26.935593220338973,26,,
5NP-S9,27.13000000000001,27.5,27.83166666666669,26,26.0,100.0
