location,tmin,tmean,tmax,hours,h_gt27,h_gt30,pct_gt27,pct_gt30,days_tmax_gt30,night_min
sm2_01,26.8,27.4,28.2,168,143,,85.0,,0,26.9
sm2_02,26.9,27.5,28.3,168,151,,90.0,,0,27.1
sm2_03,27.0,27.5,28.2,168,160,,95.0,,0,27.1
sm2_04,26.4,27.2,28.1,168,106,,63.0,,0,26.6
sm2_05,26.0,26.7,27.8,168,42,,25.0,,0,26.1
sm2_06,26.2,27.1,28.1,168,90,,54.0,,0,26.4
sm2_07,26.3,26.9,27.7,168,52,,31.0,,0,26.5
sm2_08,25.75,26.4,27.1,168,3,,2.0,,0,25.95
sm2_09,25.9,26.5,27.3,168,7,,4.0,,0,26.1
